"Points:0","Points:1","Points:2"
0,0,0
0,-0.0023431,0
0,-0.0067848,0
0,-0.011226,0
0,-0.01357,0
0.012149,0,0
0.012149,-0.0023431,0
0.012149,-0.0067848,0
0.012149,-0.011226,0
0.012149,-0.01357,0
0.035179,0,0
0.035179,-0.0023431,0
0.035179,-0.0067848,0
0.035179,-0.011226,0
0.035179,-0.01357,0
0.058209,0,0
0.058209,-0.0023431,0
0.058209,-0.0067848,0
0.058209,-0.011226,0
0.058209,-0.01357,0
0.070358,0,0
0.070358,-0.0023431,0
0.070358,-0.0067848,0
0.070358,-0.011226,0
0.070358,-0.01357,0
0.070358,0,0
0.070358,-0.0023431,0
0.070358,-0.0067848,0
0.070358,-0.011226,0
0.070358,-0.01357,0
0.082507,0,0
0.082507,-0.0023431,0
0.082507,-0.0067848,0
0.082507,-0.011226,0
0.082507,-0.01357,0
0.10554,0,0
0.10554,-0.0023431,0
0.10554,-0.0067848,0
0.10554,-0.011226,0
0.10554,-0.01357,0
0.12857,0,0
0.12857,-0.0023431,0
0.12857,-0.0067848,0
0.12857,-0.011226,0
0.12857,-0.01357,0
0.14072,0,0
0.14072,-0.0023431,0
0.14072,-0.0067848,0
0.14072,-0.011226,0
0.14072,-0.01357,0
0.14072,0,0
0.14072,-0.0023431,0
0.14072,-0.0067848,0
0.14072,-0.011226,0
0.14072,-0.01357,0
0.15286,0,0
0.15286,-0.0023431,0
0.15286,-0.0067848,0
0.15286,-0.011226,0
0.15286,-0.01357,0
0.1759,0,0
0.1759,-0.0023431,0
0.1759,-0.0067848,0
0.1759,-0.011226,0
0.1759,-0.01357,0
0.19893,0,0
0.19893,-0.0023431,0
0.19893,-0.0067848,0
0.19893,-0.011226,0
0.19893,-0.01357,0
0.21107,0,0
0.21107,-0.0023431,0
0.21107,-0.0067848,0
0.21107,-0.011226,0
0.21107,-0.01357,0
0.21107,0,0
0.21107,-0.0023431,0
0.21107,-0.0067848,0
0.21107,-0.011226,0
0.21107,-0.01357,0
0.22322,0,0
0.22322,-0.0023431,0
0.22322,-0.0067848,0
0.22322,-0.011226,0
0.22322,-0.01357,0
0.24625,0,0
0.24625,-0.0023431,0
0.24625,-0.0067848,0
0.24625,-0.011226,0
0.24625,-0.01357,0
0.26928,0,0
0.26928,-0.0023431,0
0.26928,-0.0067848,0
0.26928,-0.011226,0
0.26928,-0.01357,0
0.28143,0,0
0.28143,-0.0023431,0
0.28143,-0.0067848,0
0.28143,-0.011226,0
0.28143,-0.01357,0
0.28143,0,0
0.28143,-0.0023431,0
0.28143,-0.0067848,0
0.28143,-0.011226,0
0.28143,-0.01357,0
0.29358,0,0
0.29358,-0.0023431,0
0.29358,-0.0067848,0
0.29358,-0.011226,0
0.29358,-0.01357,0
0.31661,0,0
0.31661,-0.0023431,0
0.31661,-0.0067848,0
0.31661,-0.011226,0
0.31661,-0.01357,0
0.33964,0,0
0.33964,-0.0023431,0
0.33964,-0.0067848,0
0.33964,-0.011226,0
0.33964,-0.01357,0
0.35179,0,0
0.35179,-0.0023431,0
0.35179,-0.0067848,0
0.35179,-0.011226,0
0.35179,-0.01357,0
0.35179,0,0
0.35179,-0.0023431,0
0.35179,-0.0067848,0
0.35179,-0.011226,0
0.35179,-0.01357,0
0.36394,0,0
0.36394,-0.0023431,0
0.36394,-0.0067848,0
0.36394,-0.011226,0
0.36394,-0.01357,0
0.38697,0,0
0.38697,-0.0023431,0
0.38697,-0.0067848,0
0.38697,-0.011226,0
0.38697,-0.01357,0
0.41,0,0
0.41,-0.0023431,0
0.41,-0.0067848,0
0.41,-0.011226,0
0.41,-0.01357,0
0.42215,0,0
0.42215,-0.0023431,0
0.42215,-0.0067848,0
0.42215,-0.011226,0
0.42215,-0.01357,0
0.42215,0,0
0.42215,-0.0023431,0
0.42215,-0.0067848,0
0.42215,-0.011226,0
0.42215,-0.01357,0
0.4343,0,0
